#{"t_start": 1655252739.545968, "env_id": "CartPole-v1"}
r,l,t
128.0,128,6.174773
22.0,22,6.182384
105.0,105,6.207697
205.0,205,6.257969
25.0,25,6.264474
70.0,70,6.280695
98.0,98,6.318619
126.0,126,6.345395
101.0,101,6.366367
113.0,113,6.389873
108.0,108,6.412582
111.0,111,6.442607
18.0,18,6.44745
132.0,132,6.480548
50.0,50,6.493139
98.0,98,6.518567
15.0,15,6.522158
45.0,45,6.533419
109.0,109,6.56367
113.0,113,6.587434
119.0,119,6.6126
106.0,106,6.635836
122.0,122,6.661831
33.0,33,6.67151
37.0,37,6.681002
43.0,43,6.691581
72.0,72,6.709281
28.0,28,6.715986
56.0,56,6.729651
39.0,39,6.739349
106.0,106,6.765448
21.0,21,6.770391
97.0,97,6.805873
102.0,102,6.827413
119.0,119,6.852427
122.0,122,6.877562
118.0,118,6.903116
22.0,22,6.910526
51.0,51,6.924195
15.0,15,6.927913
33.0,33,6.936514
35.0,35,6.945364
43.0,43,7.561711
60.0,60,7.575537
96.0,96,7.597625
57.0,57,7.611174
13.0,13,7.614385
52.0,52,7.626316
13.0,13,7.629399
455.0,455,7.722141
500.0,500,7.902527
443.0,443,8.0381
500.0,500,8.160788
500.0,500,8.279017
44.0,44,8.293714
16.0,16,8.297606
41.0,41,8.307357
192.0,192,8.353366
66.0,66,8.37029
13.0,13,8.373614
99.0,99,8.39805
500.0,500,8.511688
500.0,500,8.61642
500.0,500,8.721957
500.0,500,8.829453
459.0,459,8.92993
60.0,60,8.946929
63.0,63,8.962171
114.0,114,8.989426
51.0,51,9.001028
177.0,177,9.042225
500.0,500,9.150067
500.0,500,9.251031
500.0,500,9.349795
460.0,460,9.439928
500.0,500,9.536983
15.0,15,9.54231
85.0,85,9.562942
73.0,73,9.579145
49.0,49,9.589971
68.0,68,9.604989
42.0,42,9.614599
57.0,57,9.627249
500.0,500,9.751118
454.0,454,9.838335
498.0,498,9.934384
500.0,500,10.031314
500.0,500,10.127524
27.0,27,10.136165
68.0,68,10.1526
62.0,62,10.166458
155.0,155,10.780864
176.0,176,10.820804
165.0,165,10.855659
175.0,175,10.8903
166.0,166,10.924019
224.0,224,10.969925
175.0,175,11.005037
91.0,91,11.031387
156.0,156,11.067615
109.0,109,11.092978
202.0,202,11.166449
230.0,230,11.213428
182.0,182,11.252541
177.0,177,11.289421
158.0,158,11.320918
68.0,68,11.338841
84.0,84,11.358589
21.0,21,11.363688
135.0,135,11.393395
46.0,46,11.404392
83.0,83,11.425148
39.0,39,11.434602
168.0,168,11.475507
195.0,195,11.514734
178.0,178,11.551653
212.0,212,11.593507
172.0,172,11.626916
15.0,15,11.632159
160.0,160,11.67123
137.0,137,11.704003
223.0,223,11.792194
218.0,218,11.834615
201.0,201,11.874665
227.0,227,11.919046
183.0,183,11.955433
211.0,211,12.006915
170.0,170,12.639867
365.0,365,12.747767
500.0,500,12.857422
500.0,500,12.963378
500.0,500,13.067458
500.0,500,13.172932
242.0,242,13.232106
43.0,43,13.242378
500.0,500,13.393761
363.0,363,13.468672
500.0,500,13.568577
500.0,500,13.669144
500.0,500,13.771069
163.0,163,13.814048
102.0,102,13.838858
74.0,74,13.857163
400.0,400,13.983869
500.0,500,14.086956
496.0,496,14.191929
500.0,500,14.29843
500.0,500,14.399313
218.0,218,14.451845
208.0,208,14.504697
500.0,500,14.620222
500.0,500,14.722297
500.0,500,14.820949
500.0,500,14.923999
500.0,500,15.025238
193.0,193,15.073062
373.0,373,15.888793
383.0,383,15.967145
349.0,349,16.038121
370.0,370,16.111649
333.0,333,16.182535
161.0,161,16.224631
242.0,242,16.279517
382.0,382,16.378655
361.0,361,16.452249
350.0,350,16.520191
366.0,366,16.590275
338.0,338,16.656776
213.0,213,16.71026
206.0,206,16.760155
358.0,358,16.852819
359.0,359,16.928947
404.0,404,17.015209
375.0,375,17.088255
362.0,362,17.158337
248.0,248,17.218964
366.0,366,17.354149
345.0,345,17.428868
366.0,366,17.505102
362.0,362,17.579807
351.0,351,17.650474
282.0,282,17.719481
