#{"t_start": 1656588824.998313, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.042288,999,1.959224
-0.042334,999,2.223155
-0.002315,999,4.325785
-0.005324,999,4.593628
-0.009273,999,6.708003
-0.009216,999,6.95135
-0.000317,999,8.990925
-0.000394,999,9.23478
-0.007412,999,11.230377
-0.007268,999,11.472295
-0.028925,999,13.406779
-0.028984,999,13.648864
-0.033532,999,15.603416
-0.033555,999,15.844329
-0.018091,999,17.752673
-0.018446,999,17.994564
-0.057412,999,19.947886
-0.056021,999,20.19118
-0.010457,999,22.103812
-0.01049,999,22.346913
