#{"t_start": 1656588824.997073, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.042289,999,1.960357
-0.042291,999,2.224281
-0.008528,999,4.326907
-0.002797,999,4.594757
-0.009263,999,6.709088
-0.009231,999,6.952472
-0.000431,999,8.99206
-0.000262,999,9.235901
-0.00722,999,11.231504
-0.007562,999,11.473426
-0.028897,999,13.407908
-0.028879,999,13.649986
-0.036515,999,15.60454
-0.034796,999,15.845461
-0.018105,999,17.753801
-0.018186,999,17.995695
-0.061199,999,19.949014
-0.063562,999,20.192269
-0.01056,999,22.104939
-0.010844,999,22.348042
