#{"t_start": 1656588824.996235, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.042307,999,1.961076
-0.042452,999,2.224998
-0.005542,999,4.327583
-0.004354,999,4.59547
-0.009241,999,6.709795
-0.009328,999,6.953187
-0.000414,999,8.992787
-0.000346,999,9.236621
-0.00784,999,11.232231
-0.008144,999,11.474143
-0.028966,999,13.40862
-0.028959,999,13.650707
-0.035322,999,15.605261
-0.034021,999,15.846197
-0.018634,999,17.754517
-0.018671,999,17.996417
-0.056087,999,19.949728
-0.056311,999,20.192995
-0.011474,999,22.105657
-0.010679,999,22.348757
