#{"t_start": 1652690431.855623, "env_id": "CartPole-v1"}
r,l,t
68.0,68,17.678992
102.0,102,17.69731
80.0,80,17.71136
76.0,76,17.724518
91.0,91,17.779829
125.0,125,17.867575
66.0,66,17.903877
65.0,65,17.95042
64.0,64,17.995923
70.0,70,18.035122
161.0,161,18.082202
251.0,251,18.12625
70.0,70,18.138573
67.0,67,18.150393
76.0,76,18.163563
65.0,65,18.202261
68.0,68,18.253302
49.0,49,18.281858
140.0,140,18.397127
71.0,71,18.438597
102.0,102,18.506856
54.0,54,18.530761
188.0,188,18.564825
254.0,254,18.609311
202.0,202,18.644293
74.0,74,18.657823
80.0,80,18.709626
72.0,72,18.763139
193.0,193,18.902472
87.0,87,18.965338
127.0,127,19.038436
405.0,405,19.110506
114.0,114,19.130581
500.0,500,19.22003
399.0,399,19.291309
82.0,82,19.342284
107.0,107,19.420856
130.0,130,19.514563
90.0,90,19.578902
73.0,73,19.62002
365.0,365,19.704296
285.0,285,19.75473
77.0,77,19.768346
100.0,100,19.786628
307.0,307,19.842328
122.0,122,19.924687
109.0,109,19.995091
61.0,61,20.028894
104.0,104,20.101409
99.0,99,20.168019
73.0,73,20.194357
81.0,81,20.2092
475.0,475,20.295345
164.0,164,20.325317
102.0,102,20.344058
106.0,106,20.420737
56.0,56,20.453895
79.0,79,20.507311
75.0,75,20.560741
85.0,85,20.619589
49.0,49,20.64722
59.0,59,20.698631
68.0,68,20.71092
62.0,62,20.721986
80.0,80,20.735936
288.0,288,20.787029
87.0,87,20.840052
90.0,90,20.899471
137.0,137,20.995072
54.0,54,21.025079
70.0,70,21.074321
63.0,63,21.129497
93.0,93,21.146462
92.0,92,21.162866
96.0,96,21.179771
240.0,240,21.221626
75.0,75,21.266194
44.0,44,21.302208
69.0,69,21.340843
73.0,73,21.393694
107.0,107,21.462688
65.0,65,21.508232
33.0,33,21.561543
57.0,57,21.571814
72.0,72,21.585209
35.0,35,21.591347
47.0,47,21.599461
41.0,41,21.627355
37.0,37,21.646931
42.0,42,21.680372
30.0,30,21.697757
51.0,51,21.735593
40.0,40,21.757982
43.0,43,21.782238
28.0,28,21.808943
29.0,29,21.824741
34.0,34,21.841582
23.0,23,21.854355
23.0,23,21.877854
40.0,40,21.900389
28.0,28,21.915133
26.0,26,21.93689
21.0,21,21.940953
26.0,26,21.946221
27.0,27,21.95141
28.0,28,21.956642
25.0,25,21.974648
22.0,22,21.988327
30.0,30,22.005824
19.0,19,22.017972
25.0,25,22.042185
17.0,17,22.052221
18.0,18,22.064217
12.0,12,22.070259
22.0,22,22.083162
23.0,23,22.108195
15.0,15,22.117527
18.0,18,22.129333
17.0,17,22.140195
19.0,19,22.152768
20.0,20,22.17641
19.0,19,22.188544
21.0,21,22.201291
14.0,14,22.210067
17.0,17,22.219659
15.0,15,22.228302
18.0,18,22.249523
14.0,14,22.256228
23.0,23,22.269514
24.0,24,22.284626
21.0,21,22.296889
18.0,18,22.316714
20.0,20,22.320404
18.0,18,22.323933
26.0,26,22.328734
18.0,18,22.332023
500.0,500,30.858212
500.0,500,39.093472
